"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"09/09/2022";"18:35:05";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"BA";"BA";"BAHIA";"3";"Governador";"1"
"09/09/2022";"18:35:05";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"BA";"BA";"BAHIA";"5";"Senador";"1"
"09/09/2022";"18:35:05";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"01/02/2023";"BA";"BA";"BAHIA";"6";"Deputado Federal";"39"
"09/09/2022";"18:35:05";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"01/01/2023";"BA";"BA";"BAHIA";"7";"Deputado Estadual";"63"
